GRAMMAR CHRONOLOGY GATE passages=168/168 features=27 occurrences=1195 fpRemoved=57 resolved=1195 carry=732 unresolved=0 future=0 final=PASS
GRAMMAR CANDIDATE AUDIT v3.1 passages=168 features=27 runtime=authoritative-complete
MODAL_CAN sections=76
ADJECTIVE_TO_INFINITIVE sections=15
WANT_TO sections=53
GERUND sections=4
WOULD_LIKE sections=1
VERB_TO_INFINITIVE sections=10
SV_OO sections=10
SUPERLATIVE sections=14
MAKE_O_V sections=2
WILL_FUTURE sections=11
WHEN_WHILE_CLAUSE sections=12
MODAL_MUST sections=7
MODAL_SHOULD sections=7
IF_CLAUSE sections=4
WH_TO_INFINITIVE sections=8
COMPARATIVE sections=3
PASSIVE sections=21
BE_GOING_TO sections=1
PRESENT_PROGRESSIVE sections=7
HAVE_TO sections=4
BECAUSE_CLAUSE sections=7
MODAL_COULD sections=6
PAST_PROGRESSIVE sections=2
PRESENT_PERFECT sections=12
ASK_TELL_WANT_O_TO sections=3
RELATIVE_PRONOUN sections=2
MODAL_MAY_MIGHT sections=5
GRAMMAR GATE resolved=1195 unresolved=0 future=0 final=PASS
